Manufacturer,ASIN,Description
Heroz,B08BYQZYYC,"Nylon, Inner Material: Polyester   50 Liters   Navy Blue & Sky Blue   These backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The backpack undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap."
"Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901",B01LXNNFDF,"The Laptop Bag by Urban Tribe is a   well structured and ergonomically designed. It is has spacious compartments   as well as an anti-clutter mobile phone charging compartment. The bag is very   handy and provides comfort to the user. Carry it in style.   The bag has a separate mobile   phone charging compartment to give you an anti-clutter experience while you   charge your phone.   The bag has a spacious main   compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag.   The bag is made of Polyester,   making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once."
Red Lemon,B07XYTZP4Z,"Premium Quality , Affordable Rates   RED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.   · Multi-functional Storage 3 in 1 Duffle Bag   · High Capacity with Separate Shoe Compartment   · Premium Material   • UPGRADED NIB & ULTRA-HIGH PRECISION   • PALM REJECTION - improved accuracy   • TILT FUNCTION & MAGNETIC ADSORPTION"
Samsonite,B07CJCGM1M,
Wesley,B084JGJ8PF,"With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!   Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.   Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.   The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.   It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials."
VIP Industries Ltd,B08Z1HHHTD,
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B09TPX22NF,"Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort."
"SHABA BAGS, SHABA BAGS 9354115195",B0BS6QQZYN,
Korrun India Pvt. Ltd,B088XB5XY8,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventure   With a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.   The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.   The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.   Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free day   Weighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books."
"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507",B098QFF5TJ,Featuring multiple spacious compartments and functional pockets that are easy to access and will allow you to properly organize your backpack.   The side pockets are designed to hold small items and they are made with durable mesh that can expand to secure various sizes of water bottles and compact umbrellas.   This backpack is made with lightweight material and this water-resistant fabric makes it easier for you to carry anywhere. A perfect backpack for all your travels!   Enhanced with durable and quality zippers that will last longer and will not break easily with regular use.
AirCase,B07QN4KXWG,"Contoured padded mesh back panel and shoulder straps for Extra Comfort. It helps to get relief from stress over shoulders while carry heavy weight.   It features a dedicated space for up to 15.6” laptop and iPad/tablet with a secure velcro closure. Extra padded layer protects your laptop from major impacts.   Main compartment has plenty of space for clothes, wallet, diary, etc.   Quick-grab items like your smartphone, passport etc can be stored in this zippered pocket. So you can access it easily.   Designed to accommodate tablet, mouse, power adapter & cable,power bank, keys, passport etc.   This backpack has mesh pockets on both sides with elastic belt. Umbrella, Water bottles can be easily stored inside this pockets.   With leather pull tail, fashionable & novel, keeping up with the current trend.   Handle padded with breathable mesh which provides the needed comfort while carrying excessive weight.   Adjustable side straps for a better fit.   Protects your belongings from getting wet.   Mesh Pocket to Keep bottles.   Artificial Leather with elegant look, high end finish. Strong fabric lining inside protects from scratches."
